| RU | GE | TGE | EN | TEN | Content |
| - | ა | а | - | - | - |
| - | ბ | б | - | - | - |
| - | ვ | в | - | - | - |
| - | გ | г | - | - | - |
| - | ღ | г | - | - | - |
| - | დ | д | - | - | - |
| - | ჯ | дж | - | - | - |
| - | ძ | дз | - | - | - |
| - | ე | е | - | - | - |
| - | ე | э | - | - | - |
| - | ჟ | ж | - | - | - |
| - | ზ | з | - | - | - |
| - | ი | и | - | - | - |
| - | კ | к | - | - | - |
| - | ქ | к | - | - | - |
| - | ყ | к | - | - | - |
| - | ლ | л | - | - | - |
| - | მ | м | - | - | - |
| - | ნ | н | - | - | - |
| - | ო | о | - | - | - |
| - | კ | п | - | - | - |
| - | ფ | п | - | - | - |
| - | რ | р | - | - | - |
| - | ს | с | - | - | - |
| - | თ | т | - | - | - |
| - | ტ | т | - | - | - |
| - | უ | у | - | - | - |
| - | ხ | х | - | - | - |
| - | ჰ | h | - | - | - |
| - | ც | ц | - | - | - |
| - | წ | ц | - | - | - |
| - | ჩ | ч | - | - | - |
| - | ჭ | ч | - | - | - |
| - | შ | ш | - | - | - |
| 1 | ერთი | Эрти | One | - | Правила Числа |
| 2 | ორი | Ори | Two | - | Правила Числа |
| 3 | სამი | Сами | three | - | Правила Числа |
| 4 | ოთხი | Отхи | Four | - | Правила Числа |
| 5 | ხუთი | Хути | Five | - | Правила Числа |
| 6 | ექვსი | Эквси | Six | - | Правила Числа |
| 7 | შვიდი | Швиди | Seven | - | Правила Числа |
| 8 | რვა | Рва | Eight | - | Правила Числа |
| 9 | წხრა | Цхра | Nine | - | Правила Числа |
| 10 | ათი | Ати | Ten | - | Правила Числа |
| 11 | თერთმეტი | Тертмети | eleven | - | Правила Числа |
| 12 | თორმეტი | Тормети | Twelve | - | Правила Числа |
| 13 | ცამეტი | Цамети | thirteen | - | Правила Числа |
| 14 | თოთხმეტი | Тотхмети | fourteen | - | Правила Числа |
| 15 | თხუთმეტი | Тхутмети | fifteen | - | Правила Числа |
| 16 | თექვსმეტი | Теквсмети | sixteen | - | Правила Числа |
| 17 | ჩვიდმეტი | Чвидмети | seventeen | - | Правила Числа |
| 18 | თვრამეტი | Тврамети | eighteen | - | Правила Числа |
